_id,class,date,id,name,tag_based,user_id
614ca7966378ff93c07fd7e1,3,2010-10-25T18:19:04.783Z,1153467,Nice Question,false,91
614ca7966378ff93c07fd7e2,1,2016-03-08T21:47:21.740Z,17817053,Famous Question,false,91
614ca7966378ff93c07fd7e3,2,2016-03-19T15:24:33.920Z,17958887,Good Answer,false,91
614ca7966378ff93c07fd7e4,3,2017-07-23T13:43:42.000Z,24246367,Nice Answer,false,91
614ca7966378ff93c07fd7e5,3,2019-05-08T15:20:11.907Z,32437269,Popular Question,false,91
614ca7966378ff93c07fd7e6,3,2008-09-15T09:05:53.883Z,101890,Nice Answer,false,91
614ca7966378ff93c07fd7e7,3,2009-02-12T06:07:32.310Z,233620,Nice Answer,false,91
614ca7966378ff93c07fd7e8,2,2011-03-30T04:09:32.730Z,1573145,Notable Question,false,91
614ca7966378ff93c07fd7e9,2,2011-08-16T11:10:27.820Z,2074627,Favorite Question,false,91
614ca7966378ff93c07fd7ea,3,2012-03-29T12:39:25.513Z,3135830,Popular Question,false,91
614ca7966378ff93c07fd7eb,3,2013-09-11T18:29:46.170Z,7481225,Popular Question,false,91
614ca7966378ff93c07fd7ec,1,2013-12-12T07:10:27.843Z,8378355,Famous Question,false,91
614ca7966378ff93c07fd7ed,1,2014-01-05T12:33:40.750Z,8577660,Stellar Question,false,91
614ca7966378ff93c07fd7ee,2,2010-05-17T15:28:02.677Z,815554,Notable Question,false,91
614ca7966378ff93c07fd7ef,3,2010-10-14T19:22:26.840Z,1127984,Popular Question,false,91
614ca7966378ff93c07fd7f0,2,2011-07-07T02:59:28.507Z,1913194,Good Answer,false,91
614ca7966378ff93c07fd7f1,1,2013-12-28T17:52:44.723Z,8520966,Great Question,false,91
614ca7966378ff93c07fd7f2,3,2016-03-01T00:22:11.940Z,17712099,Nice Question,false,91
614ca7966378ff93c07fd7f3,2,2010-12-15T17:11:17.160Z,1285224,Notable Question,false,91
614ca7966378ff93c07fd7f4,3,2011-12-15T04:14:45.203Z,2584157,Popular Question,false,91
614ca7966378ff93c07fd7f5,1,2014-01-09T21:27:15.713Z,8625804,Famous Question,false,91
614ca7966378ff93c07fd7f6,3,2012-09-13T00:04:06.050Z,4232932,Nice Question,false,91
614ca7966378ff93c07fd7f7,3,2011-05-26T11:24:06.113Z,1765406,Popular Question,false,91
614ca7966378ff93c07fd7f8,3,2017-03-30T10:10:25.137Z,22783800,Nice Answer,false,91
614ca7966378ff93c07fd7f9,3,2012-11-01T22:57:28.840Z,4662871,Nice Answer,false,91
614ca7966378ff93c07fd7fa,2,2013-06-27T11:18:09.487Z,6795294,Notable Question,false,91
614ca7966378ff93c07fd7fb,3,2014-01-06T01:49:37.617Z,8581445,Nice Answer,false,91
614ca7966378ff93c07fd7fc,3,2008-09-15T08:55:05.283Z,97198,Autobiographer,false,91
614ca7966378ff93c07fd7fd,2,2008-10-30T15:42:34.243Z,162530,Good Answer,false,91
614ca7966378ff93c07fd7fe,2,2009-03-03T18:37:33.787Z,250178,Good Answer,false,91
614ca7966378ff93c07fd7ff,3,2013-06-28T22:39:46.587Z,6811388,Popular Question,false,91
614ca7966378ff93c07fd800,2,2015-06-12T06:27:56.803Z,14522781,Good Answer,false,91
614ca7966378ff93c07fd801,3,2010-09-07T17:10:33.650Z,1045953,Nice Answer,false,91
614ca7966378ff93c07fd802,1,2015-01-06T17:28:25.653Z,12625542,Famous Question,false,91
614ca7966378ff93c07fd803,2,2015-09-21T19:09:41.673Z,15703307,Favorite Question,false,91
614ca7966378ff93c07fd804,2,2019-02-04T05:15:18.633Z,31166612,Good Question,false,91
614ca7966378ff93c07fd805,3,2009-04-13T00:22:31.753Z,282529,Popular Question,false,91
614ca7966378ff93c07fd806,3,2011-07-07T02:49:32.557Z,1910854,Nice Answer,false,91
614ca7966378ff93c07fd807,3,2015-05-10T14:06:14.337Z,14128455,Popular Question,false,91
614ca7966378ff93c07fd808,2,2013-03-13T03:17:54.183Z,5814546,Enlightened,false,91
614ca7966378ff93c07fd809,1,2016-01-04T21:23:33.967Z,17005372,Great Answer,false,91
614ca7966378ff93c07fd80a,3,2014-02-14T19:33:39.257Z,9012000,Nice Answer,false,91
614ca7966378ff93c07fd80b,2,2014-04-21T10:17:48.987Z,9778852,Good Question,false,91
614ca7966378ff93c07fd80c,3,2008-09-18T16:37:35.287Z,114782,Nice Question,false,91
614ca7966378ff93c07fd80d,3,2012-10-10T22:06:58.500Z,4471385,Nice Answer,false,91
614ca7966378ff93c07fd80e,2,2016-05-11T18:59:33.603Z,18622854,Good Answer,false,91
614ca7966378ff93c07fd80f,2,2016-11-21T13:13:52.847Z,21159688,Good Answer,false,91
614ca7966378ff93c07fd810,3,2009-04-14T14:02:32.927Z,283705,Popular Question,false,91
614ca7966378ff93c07fd811,3,2010-12-28T09:41:37.847Z,1310246,Popular Question,false,91
614ca7966378ff93c07fd812,3,2011-10-15T08:50:19.243Z,2321238,Nice Question,false,91
614ca7966378ff93c07fd813,3,2012-08-01T20:34:25.053Z,3971418,Nice Answer,false,91
614ca7966378ff93c07fd814,3,2014-01-15T00:26:14.207Z,8673925,Nice Answer,false,91
614ca7966378ff93c07fd815,3,2015-11-30T07:28:52.497Z,16617652,Nice Question,false,91
614ca7966378ff93c07fd816,2,2017-12-08T03:34:35.993Z,26187114,Guru,false,91
614ca7966378ff93c07fd817,3,2013-09-18T18:31:52.537Z,7547676,Nice Question,false,91
614ca7966378ff93c07fd818,1,2018-01-17T18:22:43.143Z,26629047,Famous Question,false,91
